Date,Open,High,Low,Close,Volume,Adj Close
2017-09-12,89.69,90.15,89.41,89.64,1350000,89.64
2017-09-11,88.99,89.86,88.81,89.30,1896900,89.30
2017-09-10,89.09,89.41,88.53,89.05,1482100,89.05
2017-09-07,89.22,89.78,88.64,88.95,1377200,88.95
2017-09-06,86.40,89.00,86.40,88.98,2664700,88.98
2017-09-05,86.22,86.51,85.73,85.90,1319000,85.90
2017-09-04,86.21,86.75,85.56,86.38,1526500,86.38
2017-08-31,86.01,86.50,85.43,86.13,1650000,86.13
2017-08-30,84.63,85.98,84.59,85.70,1461400,85.70
2017-08-29,85.05,85.93,84.55,85.13,1619600,85.13
2017-08-28,85.12,85.12,84.50,84.56,1814200,84.56
2017-08-27,85.43,85.57,84.64,85.41,1320100,85.41
2017-08-24,84.48,85.86,84.42,85.25,1857700,85.25
2017-08-23,85.44,85.50,84.43,84.84,1444200,84.84
2017-08-22,86.26,86.83,85.05,85.43,2433700,85.43
2017-08-21,86.00,87.28,85.87,86.57,2132500,86.57
2017-08-20,86.66,86.66,85.34,85.65,1764700,85.60
2017-08-17,87.27,87.62,86.42,86.61,1365500,86.56
2017-08-16,86.11,86.83,85.61,86.49,1405500,86.44
2017-08-15,86.35,86.78,85.81,86.35,1260500,86.30
2017-08-14,85.70,86.38,85.52,86.37,1407300,86.32
2017-08-13,85.34,85.92,85.10,85.59,1045300,85.54
2017-06-29,91.00,92.57,91.00,92.57,1716400,92.52
2017-06-28,90.73,90.74,88.88,90.03,1980600,89.98
2017-06-27,90.86,91.75,90.35,91.11,1324100,91.06
2017-06-26,89.99,90.54,89.83,90.02,1440400,89.97
2017-06-25,90.97,91.28,89.85,89.86,1434200,89.81
2017-06-22,91.46,91.79,90.97,91.59,1705200,91.54
2017-06-21,92.91,93.19,91.04,91.24,1088300,91.19
2017-06-20,93.40,93.68,91.88,92.46,1417700,92.41
2017-06-19,93.62,94.00,93.30,93.49,1117700,93.44
2017-06-18,92.58,93.16,92.29,93.12,1224100,93.07
2017-06-15,92.27,93.00,92.02,92.45,2535900,92.40
2017-06-14,91.07,92.23,91.07,91.64,1809900,91.59
2017-06-13,91.32,91.97,90.51,90.85,1265700,90.80
2017-06-12,90.27,91.42,90.00,91.37,1115000,91.32
2017-06-11,92.08,92.31,91.04,91.11,1394100,91.06
2017-06-08,90.52,91.48,90.07,91.48,1338900,91.43
2017-06-07,91.52,91.90,90.59,90.74,1286800,90.69
2017-06-06,90.32,91.26,89.97,91.06,2031300,91.01
2017-06-05,88.33,90.06,88.00,89.87,1582800,89.82
2017-06-04,88.31,89.18,87.69,88.58,1468500,88.53
2017-06-01,89.15,89.70,88.02,88.09,1383500,88.04
2017-05-31,90.80,90.80,89.62,90.25,1886900,90.20
2017-05-30,90.41,90.93,89.98,90.81,1332000,90.76
2017-05-29,90.87,91.44,90.31,90.77,1044700,90.72
2017-05-25,90.81,90.99,90.13,90.53,1147400,90.48
2017-05-24,89.43,90.49,89.18,90.49,1424900,90.44
2017-05-23,89.56,89.63,88.15,89.02,1180400,88.97
2017-05-22,89.81,90.63,89.54,89.90,1363600,89.85
2017-05-21,89.37,90.00,88.86,89.80,1192200,89.70
2017-05-18,89.47,89.69,88.46,88.78,2085700,88.68
2017-05-17,91.72,91.72,88.87,88.88,2200700,88.78
2017-05-16,91.66,92.50,91.23,91.32,2046200,91.22
2017-05-15,91.14,91.91,90.86,91.25,1226400,91.15
2017-05-14,92.21,92.68,91.40,91.60,1189400,91.50
2017-05-11,92.00,93.54,92.00,92.97,1196600,92.86
2017-05-10,93.09,93.80,92.55,92.83,1252800,92.72
2017-05-09,92.72,93.42,92.10,92.63,1423300,92.52
2017-05-08,93.11,93.54,92.18,93.35,1452600,93.24
2017-05-07,92.59,94.47,92.59,93.74,1602000,93.63
2017-05-04,93.31,93.76,92.63,92.90,1863600,92.79
2017-05-03,93.04,94.06,92.63,93.53,2607500,93.42
2017-05-02,93.99,93.99,90.66,92.50,6381300,92.39
2017-05-01,95.91,96.69,95.27,96.39,1615700,96.28
2017-04-30,96.59,96.67,95.76,96.00,1135500,95.89
2017-04-27,96.75,97.09,96.40,96.59,1030900,96.48
2017-04-26,95.13,96.57,94.93,96.38,1254500,96.27
2017-04-25,95.55,95.55,94.52,95.15,1307300,95.04
2017-04-24,93.96,94.29,93.59,94.18,1184200,94.07
2017-04-23,95.01,95.14,93.28,93.80,1424500,93.69
2017-04-20,95.49,95.94,94.91,95.58,1349500,95.47
2017-04-19,95.20,95.49,94.48,95.20,1246900,95.09
2017-04-18,94.32,95.11,94.32,94.94,1111100,94.83
2017-04-17,94.51,95.04,94.25,94.79,1597900,94.68
2017-04-16,94.87,95.00,93.52,94.08,1348300,93.97
2017-04-13,94.01,95.06,93.62,94.65,2262600,94.54
2017-04-12,93.27,93.54,92.93,93.19,1445200,93.08
2017-04-11,93.51,93.65,93.03,93.31,1108700,93.20
2017-04-10,93.80,93.91,92.39,92.48,1574100,92.37
2017-04-09,93.57,94.32,93.57,93.94,934600,93.83
2017-04-05,94.89,95.13,94.42,94.99,1249600,94.88
2017-04-04,94.73,95.30,94.59,94.82,843600,94.71
2017-04-03,95.15,95.49,94.55,95.27,1562100,95.16
2017-04-02,94.26,95.68,93.94,95.17,1823800,95.06
2017-03-30,95.65,96.39,95.27,95.43,1879200,95.32
2017-03-29,93.66,95.12,93.66,94.91,2106300,94.80
2017-03-28,94.35,94.88,93.70,94.05,1935000,93.94
2017-03-27,95.15,95.71,94.18,94.31,2014800,94.20
2017-03-09,92.35,93.11,91.68,91.87,2418100,91.77
2017-03-08,91.23,92.49,90.99,92.33,2718000,92.22
2017-03-07,88.53,91.08,88.30,90.64,2750400,90.54
2017-03-06,89.12,89.61,88.26,88.42,1179000,88.32
2017-03-05,88.95,89.83,88.95,89.55,915200,89.45
2017-03-02,89.64,89.88,89.21,89.24,823300,89.14
2017-03-01,88.19,89.88,88.19,89.74,1409400,89.64
2017-02-28,87.62,88.94,87.62,88.82,1260200,88.72
2017-02-27,86.98,87.69,86.45,87.38,1123800,87.28
2017-02-24,87.31,87.75,87.10,87.42,927400,87.32
2017-02-23,87.24,87.62,86.91,87.32,1350600,87.22
2017-02-22,86.62,87.48,86.45,87.27,1162800,87.17
2017-02-21,87.86,88.11,86.59,87.07,1473300,86.92
2017-02-17,88.48,88.48,87.70,87.91,1042200,87.76
2017-02-16,87.92,88.44,87.63,88.06,1676500,87.91
2017-02-15,89.02,89.05,87.52,87.80,1142000,87.65
2017-02-14,87.47,88.88,87.33,88.88,1361100,88.73
2017-02-13,87.45,88.26,87.43,87.61,1346400,87.46
2017-02-10,86.96,87.34,86.56,87.05,1386100,86.90
2017-02-09,88.49,88.57,87.08,87.38,1397800,87.23
2017-02-08,87.34,89.39,87.25,88.65,2625700,88.50
2017-02-07,86.25,87.48,85.75,87.25,1509800,87.10
2017-02-06,85.51,86.59,85.51,86.49,1132900,86.34
2017-02-03,85.64,86.47,85.09,86.08,3220900,85.93
2017-02-02,85.96,87.07,84.29,84.84,6185100,84.69
2017-02-01,89.41,89.41,87.19,87.29,2510700,87.14
2017-01-31,88.89,89.10,87.78,87.91,1340800,87.76
2017-01-30,88.04,88.13,87.29,88.06,1385700,87.91
2017-01-27,88.49,89.24,88.35,88.82,904700,88.67
2017-01-26,89.35,90.00,88.64,88.97,1622800,88.82
2017-01-25,88.54,89.58,88.18,89.30,1254100,89.15
2017-01-24,88.74,89.18,88.36,88.49,1445800,88.34
2017-01-23,87.93,89.50,87.93,89.36,2201100,89.21
2017-01-20,87.32,88.21,87.21,87.77,1638000,87.62
2017-01-19,87.26,87.45,86.92,87.16,2128800,87.01
2017-01-18,87.93,88.15,86.76,87.17,1873600,87.02
2017-01-17,89.08,89.50,87.76,87.93,1963600,87.78
2017-01-13,87.82,88.49,87.31,88.16,1307600,88.01
2017-01-12,88.51,89.41,88.07,88.56,1464900,88.41
2017-01-11,88.83,89.37,87.90,88.26,2053300,88.11
2017-01-10,88.96,89.37,88.72,88.97,1780400,88.82
2017-01-09,87.32,88.50,86.97,88.33,1404700,88.18
2017-01-06,87.37,87.38,86.51,87.07,1515700,86.92
2017-01-05,87.72,88.00,86.98,87.07,1580000,86.92
2017-01-04,88.19,88.50,87.77,88.01,1093700,87.86
2017-01-03,88.75,88.81,87.69,88.42,1942600,88.27
